location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,living_meters,kitchen_meters
Московская область,sale,flat,5,28,-1,31.0,16200000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point,-1,17 м²,8 м²
Московская область,sale,flat,3,15,1,40.7,5700000.0,,,,,Супонево,2013,18 м²,12 м²
Московская область,sale,flat,12,14,1,31.0,10900000.0,Дагомыс пгт, Старошоссейная,5к2,,Каравелла Португалии,2020,-1,-1
Московская область,sale,flat,7,17,3,70.0,27500000.0,Центральный, Чайковского,2Б,,,2011,42 м²,25 м²
Московская область,sale,flat,4,9,3,70.0,32000000.0,Ломоносовский,Ленинский проспект,89/2,Новаторская,,1960,-1,10 м²
Московская область,sale,flat,2,7,2,134.71,323304000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,Luce - фамильный дом,2026,"28,9 м²","25,2 м²"
Московская область,sale,flat,5,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,5/7 этаж,,,1928,49 м²,7 м²
Московская область,sale,flat,5,7,3,172.26,452748561.0,Хамовники, Ефремова,19к4,Спортивная,Knightsbridge Private Park,2015,-1,15 м²
Московская область,sale,flat,21,24,1,40.8,30000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Полежаевская,Династия,2022,"25,8 м²",10 м²
Московская область,sale,flat,3,26,1,25.7,5100000.0,, Солнечная,2,Люберцы,Облака 2.0,2023,"12,9 м²","3,6 м²"
Московская область,sale,flat,8,9,1,40.4,17652698.0,Красногвардейский, Стахановцев,1,Новочеркасская,"Малоохтинский, 68",2024,"11,8 м²","15,7 м²"
Московская область,sale,flat,17,33,1,23.4,7600000.0,, Сосновая,5к1,Котельники,,2022,-1,4 м²
Московская область,sale,flat,2,16,1,22.64,6350000.0,Молжаниновский,Ленинградское шоссе,229Ак2,Новоподрезково,Молжаниново,2024,"11,1 м²","3,6 м²"
Московская область,sale,flat,1,5,1,35.3,2950000.0,Конаково, Гагарина,12,,,-1,"20,5 м²",7 м²
Московская область,sale,flat,7,9,1,32.44,5155040.0,Колпинский,Заречье тер.,,Рыбацкое,Квартал Заречье,2026,"12,3 м²",11 м²
Московская область,sale,flat,33,41,1,46.0,21000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы,2024,18 м²,23 м²
Московская область,sale,flat,2,12,1,41.0,11700000.0,Соколиная гора,Вольная ,4,Семёновская,,1960,21 м²,10 м²
Московская область,sale,flat,2,4,1,35.95,4505000.0,,,,,Микрорайон Новая Елизаветка,2024,-1,"11,4 м²"
Московская область,sale,flat,2,25,1,29.9,7200000.0,,Юбилейный проспект,68,Никольское,Новокосино-2,-1,-1,8 м²
Московская область,sale,flat,2,24,1,30.3,5322250.0,Прикубанский, Имени Героя Георгия Бочарникова,2к1,,Улыбка,2024,-1,"9,3 м²"
Московская область,sale,flat,7,16,1,24.0,9450000.0,, Сальвадора Дали,1к3,Прокшино,,2022,15 м²,9 м²
Московская область,sale,flat,2,25,1,29.9,7200000.0,,Юбилейный проспект,68,Никольское,Новокосино-2,-1,-1,8 м²
Московская область,sale,flat,2,17,1,35.78,8766100.0,Советский,ПК1-2,ПК1-2,Горки,Мой Ритм ЖК,2026,"15,9 м²","9,6 м²"
Московская область,sale,flat,9,17,1,36.8,7600000.0,, Декабристов,8,ВДНХ,На высоте,-1,18 м²,10 м²
Московская область,sale,flat,1,5,1,35.3,2950000.0,Конаково, Гагарина,12,,,-1,"20,5 м²",7 м²
Московская область,sale,flat,4,33,1,42.9,23600000.0,Останкинский, Годовикова,11к2,Алексеевская,iLove,-1,"22,9 м²",15 м²
Московская область,sale,flat,2,24,1,38.8,7398000.0,,,,,Айвазовский City,2026,"12,1 м²","14,8 м²"
Московская область,sale,flat,10,11,-1,40.5,10969344.0,Василеостровский,проспект Средний Васильевского острова,87к3,Василеостровская,Клубные апартаменты Next,2020,-1,-1
Московская область,sale,flat,6,8,-1,27.8,12927000.0,Петроградский,проспект Малый Петроградской стороны,79-81-83,Петроградская,,2023,"12,5 м²",-1
Московская область,sale,flat,5,9,1,25.0,4775000.0,Прикубанский, Западный обход,42лит2/8,,Sport Village,2024,-1,-1
Московская область,sale,flat,2,44,1,31.61,14381127.0,Кунцево,48-й кв-л,,Кунцевская,Кутузовский Квартал ЖК,2027,"9,4 м²",-1
Московская область,sale,flat,22,25,1,33.3,5350000.0,Пролетарский,Театральный проспект,,,Панорама на Театральном,2026,-1,-1
Московская область,sale,flat,21,40,3,84.2,38500000.0,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ,2023,60 м²,20 м²
Московская область,sale,flat,16,24,3,91.0,22800000.0,Южное Бутово,Скобелевская ,5К1,Улица Скобелевская,,-1,45 м²,12 м²
